service_id,date,exception_type
1#2,20250728,1
1#3,20250728,1
1#6,20250728,1
1#11,20250728,1
1#19,20250728,1
1#20,20250728,1
1#21,20250728,1
1#25,20250728,1
1#31,20250728,1
1#33,20250728,1
1#35,20250728,1
1#39,20250728,1
1#42,20250728,1
1#43,20250728,1
1#49,20250728,1
1#56,20250728,1
1#67,20250728,1
1#75,20250728,1
1#77,20250728,1
1#83,20250728,1
1#85,20250728,1
1#86,20250728,1
1#2,20250729,1
1#3,20250729,1
1#6,20250729,1
1#11,20250729,1
1#19,20250729,1
1#20,20250729,1
1#21,20250729,1
1#25,20250729,1
1#31,20250729,1
1#33,20250729,1
1#35,20250729,1
1#39,20250729,1
1#42,20250729,1
1#43,20250729,1
1#49,20250729,1
1#56,20250729,1
1#68,20250729,1
1#76,20250729,1
1#84,20250729,1
1#87,20250729,1
1#2,20250730,1
1#3,20250730,1
1#6,20250730,1
1#11,20250730,1
1#19,20250730,1
1#20,20250730,1
1#21,20250730,1
1#25,20250730,1
1#31,20250730,1
1#33,20250730,1
1#35,20250730,1
1#39,20250730,1
1#42,20250730,1
1#43,20250730,1
1#49,20250730,1
1#56,20250730,1
1#68,20250730,1
1#76,20250730,1
1#84,20250730,1
1#87,20250730,1
1#2,20250731,1
1#3,20250731,1
1#6,20250731,1
1#11,20250731,1
1#19,20250731,1
1#20,20250731,1
1#21,20250731,1
1#25,20250731,1
1#31,20250731,1
1#33,20250731,1
1#35,20250731,1
1#39,20250731,1
1#42,20250731,1
1#43,20250731,1
1#49,20250731,1
1#56,20250731,1
1#68,20250731,1
1#76,20250731,1
1#84,20250731,1
1#87,20250731,1
1#2,20250801,1
1#3,20250801,1
1#10,20250801,1
1#11,20250801,1
1#15,20250801,1
1#19,20250801,1
1#20,20250801,1
1#25,20250801,1
1#31,20250801,1
1#33,20250801,1
1#35,20250801,1
1#39,20250801,1
1#42,20250801,1
1#43,20250801,1
1#49,20250801,1
1#56,20250801,1
1#70,20250801,1
1#71,20250801,1
1#81,20250801,1
1#84,20250801,1
1#87,20250801,1
1#89,20250801,1
1#90,20250801,1
1#2,20250802,1
1#3,20250802,1
1#8,20250802,1
1#9,20250802,1
1#12,20250802,1
1#13,20250802,1
1#14,20250802,1
1#15,20250802,1
1#17,20250802,1
1#18,20250802,1
1#22,20250802,1
1#24,20250802,1
1#25,20250802,1
1#28,20250802,1
1#29,20250802,1
1#31,20250802,1
1#34,20250802,1
1#37,20250802,1
1#39,20250802,1
1#40,20250802,1
1#41,20250802,1
1#47,20250802,1
1#51,20250802,1
1#58,20250802,1
1#72,20250802,1
1#78,20250802,1
1#80,20250802,1
1#82,20250802,1
1#87,20250802,1
1#88,20250802,1
1#1,20250803,1
1#2,20250803,1
1#6,20250803,1
1#7,20250803,1
1#13,20250803,1
1#16,20250803,1
1#23,20250803,1
1#25,20250803,1
1#27,20250803,1
1#30,20250803,1
1#31,20250803,1
1#32,20250803,1
1#36,20250803,1
1#38,20250803,1
1#39,20250803,1
1#44,20250803,1
1#45,20250803,1
1#46,20250803,1
1#61,20250803,1
1#64,20250803,1
1#66,20250803,1
1#69,20250803,1
1#73,20250803,1
1#74,20250803,1
1#87,20250803,1
1#2,20250804,1
1#3,20250804,1
1#6,20250804,1
1#11,20250804,1
1#12,20250804,1
1#25,20250804,1
1#31,20250804,1
1#33,20250804,1
1#35,20250804,1
1#39,20250804,1
1#42,20250804,1
1#48,20250804,1
1#50,20250804,1
1#53,20250804,1
1#55,20250804,1
1#56,20250804,1
1#58,20250804,1
1#59,20250804,1
1#60,20250804,1
1#63,20250804,1
1#68,20250804,1
1#76,20250804,1
1#78,20250804,1
1#87,20250804,1
1#91,20250804,1
1#93,20250804,1
1#2,20250805,1
1#3,20250805,1
1#6,20250805,1
1#11,20250805,1
1#12,20250805,1
1#25,20250805,1
1#31,20250805,1
1#33,20250805,1
1#35,20250805,1
1#39,20250805,1
1#42,20250805,1
1#48,20250805,1
1#50,20250805,1
1#52,20250805,1
1#53,20250805,1
1#55,20250805,1
1#56,20250805,1
1#58,20250805,1
1#59,20250805,1
1#60,20250805,1
1#63,20250805,1
1#68,20250805,1
1#76,20250805,1
1#79,20250805,1
1#87,20250805,1
