route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
T01,1#24,1#1-2,"TUSCOLANA/ANAGNINA","18365394",0,"",51509,0,0
C11,1#24,1#1-4,"CIMITERO LAURENTINO","18365388",0,"",63032,0,0
C11,1#24,1#1-5,"CINECITTA' (MA)","18365391",1,"",63033,0,0
C11,1#24,1#1-6,"CIMITERO LAURENTINO","18365389",0,"",63032,0,0
C11,1#24,1#1-7,"CINECITTA' (MA)","18365392",1,"",63033,0,0
C11,1#24,1#1-8,"CIMITERO LAURENTINO","18365390",0,"",63032,0,0
C11,1#24,1#1-9,"CINECITTA' (MA)","18365393",1,"",63033,0,0
T10,1#24,1#1-11,"TOR VERGATA/SCHIAVONETTI","18365395",0,"",51510,0,0
T01,1#27,1#2-2,"TUSCOLANA/ANAGNINA","18368458",0,"",51509,0,0
C11,1#27,1#2-4,"CIMITERO LAURENTINO","18368452",0,"",63032,0,0
C11,1#27,1#2-5,"CINECITTA' (MA)","18368455",1,"",63033,0,0
C11,1#27,1#2-6,"CIMITERO LAURENTINO","18368453",0,"",63032,0,0
C11,1#27,1#2-7,"CINECITTA' (MA)","18368456",1,"",63033,0,0
C11,1#27,1#2-8,"CIMITERO LAURENTINO","18368454",0,"",63032,0,0
C11,1#27,1#2-9,"CINECITTA' (MA)","18368457",1,"",63033,0,0
T10,1#27,1#2-11,"TOR VERGATA/SCHIAVONETTI","18368459",0,"",51510,0,0
T01,1#24,1#3-2,"TUSCOLANA/ANAGNINA","18365398",0,"",51509,0,0
C11,1#24,1#3-4,"CIMITERO LAURENTINO","18365396",0,"",63032,0,0
C11,1#24,1#3-5,"CINECITTA' (MA)","18365397",1,"",63033,0,0
T10,1#24,1#3-7,"TOR VERGATA/SCHIAVONETTI","18365399",0,"",51510,0,0
T01,1#27,1#4-2,"TUSCOLANA/ANAGNINA","18368462",0,"",51509,0,0
C11,1#27,1#4-4,"CIMITERO LAURENTINO","18368460",0,"",63032,0,0
C11,1#27,1#4-5,"CINECITTA' (MA)","18368461",1,"",63033,0,0
T10,1#27,1#4-7,"TOR VERGATA/SCHIAVONETTI","18368463",0,"",51510,0,0
C13,1#13,1#5-2,"P.LE STAZIONE DEL LIDO (RL)","18365414",1,"",700597,0,0
